plant_id,treatment,plant_ht_class,plant_ht_cm,num_flowers,corolla_area_mm2,spur_length_mm
139,control,tall,15.6,10,87.56,8.68
140,hand-pollinated,short,9.1,5,72.44,7.48
141,control,short,10.2,5,44.44,8.23
142,hand-pollinated,tall,17.2,12,61.12,12.32
143,control,tall,15.7,6,76,11.13
144,hand-pollinated,tall,16.8,10,109.48,9.63
145,control,tall,20,16,76.6,10.94
146,hand-pollinated,tall,11.9,6,94.24,8.85
147,control,short,9.7,3,55.24,8.81
148,hand-pollinated,short,10.3,3,33.68,9.18
149,control,tall,16.8,5,70.24,10.39
150,hand-pollinated,tall,20.7,15,99.16,10.61
151,control,short,10.3,6,63.4,10.14
152,hand-pollinated,tall,17.9,12,87.52,9.41
153,control,tall,13.2,7,70.36,9.3
154,hand-pollinated,tall,13,4,84.28,11.65
155,control,tall,12.3,5,63.04,12.23
156,hand-pollinated,tall,17.9,6,63.64,9.69
157,control,tall,17.6,9,105.58,11.26
158,hand-pollinated,tall,16.1,13,124.03,7.32
159,control,tall,12.2,4,74.47,10.33
160,hand-pollinated,short,10.7,4,79.13,9.59
161,control,tall,21.9,16,102.33,11.55
162,hand-pollinated,tall,11.1,9,89.34,10.23
163,control,short,10.2,8,78.05,9.66
164,hand-pollinated,short,10.3,9,117.28,10.82
165,control,tall,17.8,16,127.95,11.67
166,hand-pollinated,short,8.5,3,82.09,11.16
167,control,tall,14.3,10,137.98,10.62
168,hand-pollinated,tall,12.1,7,52.94,10.61
169,control,short,9.7,11,52.4,10.63
170,hand-pollinated,short,7,5,39.12,8.48
171,control,tall,11.5,11,69.32,11.45
172,hand-pollinated,tall,14.8,6,62.2,11.09
173,control,short,9.6,5,47.84,11.19
174,hand-pollinated,tall,17.2,10,84.4,11.67
175,control,tall,12.8,13,87.6,11.29
176,hand-pollinated,short,7.8,8,71.84,11.47
177,control,tall,15.9,11,65,11.12
178,hand-pollinated,short,9.5,4,58.6,10.16
179,control,short,10.8,9,69.72,11.29
180,hand-pollinated,short,10,4,64.88,10.52
181,control,tall,13.1,7,69.72,7.55
182,hand-pollinated,tall,11,8,84.72,8.94
183,control,tall,11.4,7,65.8,9.16
184,hand-pollinated,tall,13.8,7,90.2,10.39
185,control,tall,11.5,7,84.48,10.89
186,hand-pollinated,tall,16.2,10,103.76,10.25
187,control,tall,14.1,12,120.96,9.7
188,hand-pollinated,tall,11.7,8,84.84,10.05
189,control,tall,18,12,65.88,10.17
190,hand-pollinated,tall,15.4,14,96.4,10.55
191,control,tall,11.9,5,88.52,10.36
192,hand-pollinated,tall,17.8,10,78.4,11.13
193,control,tall,11,4,85.27,8.91
194,hand-pollinated,tall,11.5,7,55.29,10.57
195,control,short,8.7,4,88.5,6.84
196,hand-pollinated,tall,15.2,11,59.59,8.19
197,control,tall,13.6,9,141.06,10.89
198,hand-pollinated,short,10.8,4,56.06,10.36
199,control,short,8.3,5,62.09,8.39
200,hand-pollinated,tall,15.3,10,87.31,10.76
201,control,tall,19.4,16,76.86,12.52
202,hand-pollinated,short,9.8,8,79.55,10.97
203,control,tall,15.3,8,69.28,8.3
204,hand-pollinated,short,5.8,9,118.19,9.8
205,control,tall,11.9,9,81.31,9.61
206,hand-pollinated,tall,18,10,119.18,10.51
207,control,tall,13.2,17,77.12,11.32
208,hand-pollinated,tall,14.8,7,80.7,9.14
209,control,tall,12,8,59.48,9.69
210,hand-pollinated,tall,11.1,7,65.82,9.19
211,control,tall,13.2,10,110.46,11.39
212,hand-pollinated,tall,12.5,8,65.44,11.43
213,control,tall,14.9,10,96.62,11.72
214,hand-pollinated,tall,15.7,6,113.03,10.53
215,control,tall,16.8,2,56.59,10.03
216,hand-pollinated,tall,15.1,12,108.77,12.26
217,control,tall,11.9,9,74.59,11.82
218,hand-pollinated,tall,16,12,110.53,10.68
219,control,short,9,5,99.15,10.41
220,hand-pollinated,short,9.2,7,67.47,10.45
221,control,tall,13.8,11,106.65,12.15
222,hand-pollinated,tall,15.7,14,107.3,13.54
223,control,short,10.3,10,59.36,11.29
224,hand-pollinated,tall,12.7,6,84.01,9.6
225,control,tall,20.5,12,87.08,11.86
226,hand-pollinated,tall,16.1,8,77.32,9.95
227,control,tall,12.7,5,68.17,11.12
228,hand-pollinated,tall,17,6,110.27,12.26
229,control,tall,12.5,6,130.33,12.18
230,hand-pollinated,tall,13.3,5,84.54,10.24
231,control,tall,15.2,10,66.71,10.88
232,hand-pollinated,tall,14.9,14,97.69,10.68
233,control,short,6,3,101.11,12.65
234,hand-pollinated,tall,20.2,15,46.44,9.01
235,control,short,10,3,115.8,13.36
236,hand-pollinated,tall,15.6,12,65.13,10.62
237,control,tall,14,12,84.89,13.36
238,hand-pollinated,tall,17.1,10,112.84,11.93
239,control,short,10.5,9,69.13,9.66
240,hand-pollinated,tall,12.5,17,61.9,10.7
241,control,tall,14.3,8,70.19,10.92
242,hand-pollinated,tall,19,13,119.45,11.27
243,control,short,10.6,8,51.33,9.29
244,hand-pollinated,tall,16,6,68.49,11.77
245,control,tall,11.3,6,69.67,9.95
246,hand-pollinated,short,10,8,65.83,9.34
247,control,tall,13.5,6,81.62,10.08
248,hand-pollinated,tall,11.8,6,101.78,9.39
249,control,tall,14.5,8,65.13,10.94
250,hand-pollinated,short,8.5,7,63.57,9.45
251,control,tall,11.7,6,58.62,10.77
252,control,tall,11,6,48.34,10.7
253,control,tall,11.3,6,47.51,9.24
254,hand-pollinated,tall,13.8,7,83.35,9.44
255,control,tall,15.5,8,72.1,10.41
258,hand-pollinated,short,9.6,5,82.15,10.63
259,control,tall,17.7,13,38.19,9.89
260,control,tall,17.3,6,58.34,8.67
261,control,tall,16.8,11,63.31,9.93
262,hand-pollinated,tall,14.3,7,60.35,11.68
263,control,tall,12.6,12,86.26,9.71
264,control,tall,12.3,8,58.4,11.47
265,control,tall,16.6,10,80.01,10.51
266,hand-pollinated,short,9.7,5,103.82,11.92
267,control,tall,11.8,6,74.7,9.07
268,control,tall,23,9,77.66,10.68
269,control,tall,16,8,95.29,11.04
270,control,tall,20.4,13,88.38,13.94
271,control,tall,13.3,7,86.39,10.43
272,hand-pollinated,tall,19.7,12,82.59,11.9
273,control,short,6.6,6,70,12.2
274,control,tall,18,9,93.01,8.93
275,control,tall,16.3,10,71.16,9.19
276,control,short,10.1,8,65.83,10.42
277,control,tall,18.8,11,144.29,12.2
278,control,tall,21.7,9,106.27,11.9
279,control,tall,18.5,11,70.24,9.83
280,control,short,8.3,4,58.94,10.3
281,control,tall,14,6,73.16,13.33
282,hand-pollinated,short,10.6,3,63.74,10.92
283,control,tall,19.7,10,78.97,13.16
284,control,tall,15.4,8,57.86,11.39
285,control,tall,15.7,6,95.81,11.73
286,hand-pollinated,tall,13.2,4,68.24,10.21
287,control,tall,14.8,8,71.28,11
288,control,tall,15.1,12,82.16,13.39
289,control,tall,17.1,14,85.84,14.74
290,hand-pollinated,short,8.8,7,57.36,9.83
291,control,short,8.3,8,64.16,10.27
292,control,tall,13.7,9,58.44,11.65
293,control,short,9.7,7,44.48,8.82
294,hand-pollinated,tall,16.9,6,84.8,8.68
295,control,short,9.6,3,63.28,9.95
296,hand-pollinated,tall,13.4,7,88.24,11.44
297,control,tall,14,5,106.12,11.61
298,hand-pollinated,tall,16.5,5,58.76,10.32
299,control,tall,12.8,12,62.96,10.74
300,control,tall,12,6,55.28,7.82
301,control,tall,15.6,11,59.04,13.15
302,hand-pollinated,tall,22,10,99.52,10.64
303,control,short,9,7,113.24,11.54
304,hand-pollinated,tall,18.3,11,100.64,10.27
305,control,tall,19.7,16,112.68,10.26
306,control,tall,17.3,8,88.64,8.71
307,control,tall,26.3,12,97.24,13.58
308,control,tall,17.6,7,104,10.53
309,control,tall,17.6,7,96.12,12.83
310,control,tall,19.9,11,77.72,10.7
311,control,tall,17.4,10,43.92,8.93
312,control,tall,13.1,3,78.48,11.14
313,control,tall,14.1,6,82.8,11.41
314,control,tall,20.1,8,106.6,11.73
315,control,tall,17.1,5,134.56,12.85
316,control,tall,24.2,12,71.8,10.36
317,control,tall,12.5,7,86.2,11.76
318,control,tall,16.9,7,107.76,13.22
319,control,tall,14.2,9,73.08,8.82
320,control,tall,12.6,7,67.96,13.21
