County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
Herkimer,43,2004,13407,49,40,8,NA,NA,NA,NA,NA,"(42.99114, -74.98056)","(43.1631, -74.8741)"
St. Lawrence,89,2009,13630,8,NA,NA,0,0,0,0,0,"(44.483181, -75.298577)","(44.488113, -75.074311)"
St. Lawrence,89,2007,13669,141,94,40,NA,NA,7,0.05,50,"(44.66628, -75.49944)","(44.488113, -75.074311)"
Essex,31,2000,12870,14,NA,NA,0,0,0,0,0,"(43.8396, -73.76022)","(44.108971, -73.777573)"
Jefferson,45,2000,13685,11,NA,NA,0,0,0,0,0,"(43.943471, -76.111664)","(44.0607, -75.9928)"
St. Lawrence,89,2004,13613,19,NA,NA,0,0,0,0,0,"(44.860326, -74.725235)","(44.488113, -75.074311)"
St. Lawrence,89,2010,13667,43,NA,NA,0,0,0,0,0,"(44.799692, -74.994368)","(44.488113, -75.074311)"
Lewis,49,2002,13343,8,NA,NA,NA,NA,NA,NA,NA,"(43.73778, -75.3279)","(43.786397, -75.442617)"
Warren,113,2004,12824,7,NA,NA,0,0,0,0,0,"(43.4853, -73.69194)","(43.555105, -73.838139)"
Lewis,49,2006,13433,26,17,9,0,0,0,0,0,"(43.588855, -75.279411)","(43.786397, -75.442617)"
Franklin,33,2020,12920,24,24,0,0,0,0,0,0,"(44.92315, -74.082893)","(44.594374, -74.31067)"
St. Lawrence,89,2018,13694,20,20,0,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
Clinton,19,2001,12921,30,24,6,0,0,0,0,0,"(44.889987, -73.466593)","(44.75271, -73.705648)"
Franklin,33,2017,12937,20,NA,NA,0,0,0,0,0,"(44.956408, -74.489215)","(44.594374, -74.31067)"
Clinton,19,2003,12959,11,11,0,0,0,0,0,0,"(44.965896, -73.694298)","(44.75271, -73.705648)"
St. Lawrence,89,2013,13684,13,NA,NA,0,0,0,0,0,"(44.37588, -75.06918)","(44.488113, -75.074311)"
St. Lawrence,89,2010,13690,10,NA,NA,0,0,0,0,0,"(44.153984, -75.02951)","(44.488113, -75.074311)"
Herkimer,43,2012,13329,26,NA,NA,NA,NA,NA,NA,NA,"(43.1037, -74.74098)","(43.1631, -74.8741)"
St. Lawrence,89,2019,12965,11,NA,NA,NA,NA,NA,NA,NA,"(44.705556, -74.715278)","(44.488113, -75.074311)"
Jefferson,45,2001,13656,18,NA,NA,0,0,0,0,0,"(44.19102, -75.95556)","(44.0607, -75.9928)"
Herkimer,43,2006,13339,6,6,0,0,0,0,0,0,"(42.95874, -74.57826)","(43.1631, -74.8741)"
Jefferson,45,2005,13622,14,14,0,0,0,0,0,0,"(44.064254, -76.129074)","(44.0607, -75.9928)"
Lewis,49,2004,13489,6,NA,NA,0,0,0,0,0,"(43.473901, -75.53277)","(43.786397, -75.442617)"
Herkimer,43,2001,13502,11,NA,NA,0,0,0,0,0,"(43.12746, -75.21426)","(43.1631, -74.8741)"
Essex,31,2003,12997,8,NA,NA,0,0,0,0,0,"(44.388992, -73.8437)","(44.108971, -73.777573)"
Essex,31,2017,12974,8,8,0,0,0,0,0,0,"(44.045341, -73.465362)","(44.108971, -73.777573)"
Franklin,33,2002,12937,6,NA,NA,0,0,0,0,0,"(44.956408, -74.489215)","(44.594374, -74.31067)"
St. Lawrence,89,2009,13680,7,NA,NA,0,0,0,0,0,"(44.591957, -75.320308)","(44.488113, -75.074311)"
Clinton,19,2020,12981,44,44,0,0,0,0,0,0,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Clinton,19,2006,12918,15,NA,NA,NA,NA,NA,NA,NA,"(44.672587, -73.664389)","(44.75271, -73.705648)"
Clinton,19,2014,12958,12,12,0,0,0,0,0,0,"(44.961265, -73.581139)","(44.75271, -73.705648)"
