Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,female_maturity_days,male_maturity_days,gestation_incubation_days,weaning_days,litter_clutch_size,litters_clutches_per_year,inter_repro_interval_days,birth_wt_g,weaning_wt_g,adult_wt_g,growth_rate_1_over_days,max_longevity_years,Source,data_quality,body_mass_g,temperature_K
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's hawk,730,730,24,NA,4,1,NA,28,NA,526.64,0.212,20.3,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,365,730,33,NA,3,1,NA,NA,NA,1044.2,0.225,22,450,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Eurasian sparrowhawk,365,365,NA,NA,NA,NA,NA,NA,NA,237.5,0.258,20.2,450,acceptable,135,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,365,365,34,NA,4,1,NA,NA,NA,135,NA,19.9,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,9625,NA,39,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,adalberti,Spanish imperial eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,44.5,575,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,audax,Wedge-tailed eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,3466,NA,40,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,1460,1460,40,NA,2,1,NA,110.6,NA,4800,0.126,48,437,acceptable,3000,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,fasciata,Bonelli's eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,0.154,20,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,heliaca,Eastern imperical eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,3262,NA,56,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,Steppe eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745.5,NA,41,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,pomarina,Lesser spotted eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370,NA,26.1,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,rapax,Tawny eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996.1,0.093,40.3,575,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur,indicus,Grey-faced buzzard,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,8.5,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Buzzard,730,730,NA,NA,NA,NA,NA,NA,NA,1012,0.189,28.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk,730,730,31,NA,3,1,NA,57.6,NA,1362,0.188,30.7,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk,730,730,29,NA,5,1,NA,41.62,NA,980.64,NA,18.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,365,365,33,NA,3.5,1,NA,35,NA,607,NA,22.4,427,acceptable,658,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,365,365,25,NA,2.5,1,NA,28,NA,454,0.271,18.3,577,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk,730,730,32,NA,3,1,NA,51.6,NA,1500,0.171,23.7,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,solitarius,Hawaiian hawk,NA,NA,38,NA,1,NA,NA,35,NA,505,NA,17,445,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's hawk,730,730,31,NA,3,1,NA,39.4,NA,980.64,0.158,24.9,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common black hawk,730,730,38,NA,1.5,1,NA,NA,NA,837,NA,13.5,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,gallicus,Short-toed eagle,1095,1095,NA,NA,NA,NA,NA,NA,NA,1699.5,NA,17.3,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,aeruginosus,Swamp harrier,730,730,NA,NA,NA,NA,NA,NA,NA,711.5,NA,20.1,450,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier,365,365,31,NA,4.4,1,NA,23.8,NA,392,0.25,17.1,450,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,macrourus,Pallid harrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.5,NA,13.5,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,pygargus,Montagu's harrier,730,730,NA,NA,NA,NA,NA,NA,NA,315.5,NA,16.3,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,Black-winged kite,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.5,NA,6,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite,NA,NA,30,NA,4.1,1.5,NA,17.4,NA,280,NA,6,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Black-chested buzzard-eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,2447.5,NA,42,575,acceptable,2860,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,Bearded vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,5070,NA,40,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypohierax,angolensis,Palm-nut vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,NA,27.1,575,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,5433,0.045,19.7,575,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,fulvus,Eurasian griffon,1460,1460,NA,NA,NA,NA,NA,NA,NA,7436,NA,41.4,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle,1460,1460,41,NA,2,NA,NA,NA,NA,6696.5,0.14,42,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle,1460,1460,35,NA,2,1,NA,NA,NA,3175,0.098,48,,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,harpyja,Harpy eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800,NA,16.8,575,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpyopsis,novaeguineae,New Guinea eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,morphnoides,Little eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,NA,10.3,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite,365,365,31,NA,2,1,NA,17,NA,266,0.169,11.2,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Kaupifalco,monogrammicus,Lizard buzzard,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.5,NA,8.6,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,isura,Square-tailed kite,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.5,NA,17,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black kite,1095,1095,NA,NA,NA,NA,NA,NA,NA,1000,0.179,24,,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite,1095,1095,NA,NA,NA,NA,NA,NA,NA,1080,NA,38,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,Egyptian vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082,0.102,37,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's hawk,365,365,34,NA,3,2,NA,NA,NA,994.26,NA,25,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,Western honey-buzzard,1095,1095,NA,NA,NA,NA,NA,NA,NA,758,NA,29,1,acceptable,652,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle,1825,2555,63,NA,1,NA,NA,NA,NA,6500,NA,41,515,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite,365,365,30,NA,3,2,NA,29.3,NA,352.5,NA,17,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,aura,Turkey vulture,4015,4015,39,NA,2,1,NA,60,NA,2200,0.126,20.8,,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black vulture,2920,2920,35,NA,2,1,NA,70,NA,2270,0.1,25.5,576,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Gymnogyps,californianus,California condor,2190,2190,57,NA,1,2,NA,185.3,NA,11175,NA,45,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Sarcoramphus,papa,King vulture,NA,NA,57,NA,NA,NA,NA,NA,NA,3405,0.078,40,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Vultur,gryphus,Andean condor,2555,2555,56,NA,1,NA,NA,NA,NA,10500,0.078,79,855,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,Osprey,1095,1095,38,NA,3,1,NA,50.3,NA,1362,0.172,32,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck,365,365,31,NA,12,2,NA,23.7,NA,452.8,NA,22.5,577,acceptable,448,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,Egyptian goose,730,730,29,NA,7,NA,NA,NA,NA,1900,NA,25.5,575,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail,240,240,22,NA,7.5,1,NA,26,NA,721,NA,27.4,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,americana,American wigeon,365,365,23,NA,9,1,NA,24,NA,793.8,NA,21.3,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,240,240,23,NA,11,1,NA,23,NA,613,NA,22.6,553,acceptable,554,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,180,180,22,NA,10,1,NA,15,NA,343.8,NA,27.1,450,acceptable,250,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,cyanoptera,Cinnamon teal,365,365,23,NA,10,1.5,NA,18.2,NA,411,NA,12.9,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,discors,Blue-winged teal,240,240,24,NA,10,1,NA,18.3,NA,420,NA,23.2,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled duck,365,365,26,NA,10,1,NA,32.9,NA,950,NA,20,1,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan duck,365,365,28,NA,3.8,1,NA,26,NA,500,NA,12,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon,365,365,24,NA,8,NA,NA,NA,NA,660,NA,35.2,450,acceptable,723,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,365,365,26,NA,9,1,NA,32.8,NA,1048.1,0.12,29.1,,acceptable,1020,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,querquedula,Garganey,365,365,NA,NA,NA,NA,NA,NA,NA,326,NA,14.7,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck,365,365,28,NA,9,1,NA,32,NA,998.7,0.084,26.6,972,acceptable,904,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall,240,240,26,NA,10,1,NA,35.6,NA,791,0.115,28,972,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose,1095,1095,27,NA,5,1,NA,90.3,NA,2681,NA,47,445,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,anser,Greylag goose,1095,1095,NA,NA,NA,NA,NA,NA,NA,3308.5,0.104,31,575,high,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Pink-footed goose,1095,1095,NA,NA,NA,NA,NA,NA,NA,2645,NA,40.9,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose,1095,1095,28,NA,4,NA,NA,NA,NA,3348,NA,25.6,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Lesser scaup,365,365,24,NA,10,1,NA,30.8,NA,787,0.091,18.3,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Redhead,365,365,26,NA,13,1,NA,37.6,NA,1077.3,0.089,22.6,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked duck,365,365,27,NA,9,1,NA,29.3,NA,737,NA,20.4,577,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,ferina,Common pochard,365,365,NA,NA,NA,NA,NA,NA,NA,823,NA,23.2,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,fuligula,Tufted duck,365,365,NA,NA,NA,NA,NA,NA,NA,701.5,0.144,45.2,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Greater scaup,365,365,26,NA,9,1,NA,46.3,NA,928.5,NA,22.1,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback,240,240,24,NA,9,1,NA,44.7,NA,1208.8,0.087,29.5,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose,730,730,24,NA,4,1,NA,43.6,NA,1163.2,0.08,28.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose,730,730,26,NA,5,1,NA,85.5,NA,3200,0.113,42,,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Cackling goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940.1,NA,18.3,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,leucopsis,Barnacle goose,730,730,NA,NA,NA,NA,NA,NA,NA,1687,NA,28.2,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian goose,912,730,30,NA,4,1,NA,90.8,NA,2150,NA,42,445,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead,730,730,30,NA,8,1,NA,23.8,NA,400,NA,18.7,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Common goldeneye,730,730,30,NA,10,1,NA,38.1,NA,895.86,NA,18.4,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's goldeneye,730,730,29,NA,11,1,NA,NA,NA,957.15,NA,18,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,novaehollandiae,Cape barren goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,3980,NA,28.1,575,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,caerulescens,Snow goose,730,730,24,NA,4,1,NA,95,NA,2806.65,0.078,27.5,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,canagica,Emperor goose,365,365,24,NA,4.9,1,NA,81.8,NA,2148,NA,12,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,rossii,Ross's goose,570,570,21,NA,4,1,NA,65,NA,1715,NA,22.5,818,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Oldsquaw,730,730,24,NA,7,1,NA,25,NA,872,NA,22.7,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter swan,730,730,35,NA,5,1,NA,220,NA,13000,NA,32.5,1,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,columbianus,Tundra swan,730,730,31,NA,4,1,NA,179,NA,6350,NA,24.1,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Whooper swan,1460,1460,NA,NA,NA,NA,NA,NA,NA,9350,NA,26.5,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Mute swan,1095,1095,36,NA,5.3,1,NA,225,NA,8300,0.08,70,444,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Black-bellied whistling duck,365,365,27,NA,14,1,NA,30.8,NA,828,0.17,8.2,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,White-faced whistling duck,NA,NA,27,NA,8,NA,NA,NA,NA,610,NA,12,448,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Harlequin duck,365,365,28,NA,6,1,NA,32.9,NA,561.25,NA,14.6,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Hooded merganser,730,730,31,NA,11,1,NA,31,NA,634.375,NA,15.7,986,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,fusca,White-winged scoter,730,730,28,NA,11,1,NA,54.5,NA,1360.8,NA,21.4,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,Black scoter,730,730,29,NA,9,1,NA,43.2,NA,1052.2,NA,16.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Surf scoter,730,730,NA,NA,NA,NA,NA,NA,NA,1097.5,NA,9.5,427,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,albellus,Smew,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,NA,10,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Common merganser,730,730,30,NA,10,1,NA,46.2,NA,1445,NA,14.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Red-breasted merganser,730,730,32,NA,10,1,NA,NA,NA,1020.6,0.063,21.3,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,rufina,Red-crested pochard,365,365,NA,NA,NA,NA,NA,NA,NA,1118,NA,8.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,australis,Blue-billed duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,NA,16,1,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Ruddy duck,365,365,23,NA,8,1,NA,43,NA,542,NA,13.6,576,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Plectropterus,gambensis,Spur-winged goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,3869,NA,11.3,575,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,stelleri,Steller's eider,730,730,26,NA,8,1,NA,NA,NA,907.2,NA,23,818,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Common eider,730,730,28,NA,4,1,NA,76.4,NA,2130,0.061,37.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadorna,Common shelduck,730,730,NA,NA,NA,NA,NA,NA,NA,1152,0.074,24.8,450,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,White-throated swift,NA,NA,24,NA,4,1,NA,NA,NA,31,NA,10,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,Common swift,730,730,NA,NA,NA,NA,NA,NA,NA,37.6,0.262,21.1,450,acceptable,44.9,NA
Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,melba,Alpine swift,730,730,NA,NA,NA,NA,NA,NA,NA,102.7,NA,26,729,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,pelagica,Chimney swift,365,365,20,NA,4.5,1,NA,1.25,NA,22.8,0.345,15,579,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,niger,Black swift,365,365,24,NA,1,1,NA,3.3,NA,45,NA,16.1,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,violiceps,Violet-crowned hummingbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,yucatanensis,Buff-bellied hummingbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,11.2,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,alexandri,Black-chinned hummingbird,365,365,NA,NA,2,NA,NA,NA,NA,3,NA,11.2,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated hummingbird,365,365,13,NA,2,2,NA,0.62,NA,3.1,NA,9.1,427,acceptable,3.2,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calothorax,lucifer,Lucifer hummingbird,NA,NA,15,NA,2,2,NA,NA,NA,3.3,NA,4.1,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's hummingbird,365,365,16,NA,2,2,NA,NA,NA,4.4,NA,8.5,577,acceptable,4.8,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,costae,Costa's hummingbird,NA,NA,16,NA,2,1,NA,NA,NA,3.1,NA,6,,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,Broad-billed hummingbird,365,365,17,NA,2,NA,NA,NA,NA,3.3,NA,8.8,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,fulgens,Magnificent hummingbird,365,365,14,NA,2,NA,NA,NA,NA,8.1,NA,11,427,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lampornis,clemenciae,Blue-throated hummingbird,365,NA,18,NA,2,2,NA,NA,NA,7.6,0.462,12,444,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lamprolaima,rhami,Garnet-throated hummingbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,8,1,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed hummingbird,365,365,16,NA,2,2,NA,0.4,NA,4.2,NA,14,,acceptable,NA,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,rufus,Rufous hummingbird,365,365,16,NA,2,1,NA,NA,NA,3.5,0.38,8.9,427,acceptable,3.8,NA
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Stellula,calliope,Calliope hummingbird,365,365,15,NA,2,NA,NA,NA,NA,2.6,NA,7,427,acceptable,3,NA
Animalia,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,australis,Brown kiwi,NA,NA,75,NA,1,NA,NA,325,NA,2600,0.0312,35,1,acceptable,2380,NA
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,Great hornbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,2798.5,NA,33.4,575,acceptable,NA,NA
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Bycanistes,subcylindricus,Grey-cheeked hornbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,31.8,972,acceptable,NA,NA
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Ceratogymna,atrata,Black-casqued hornbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203.5,NA,19.3,575,acceptable,NA,NA
Animalia,Chordata,Aves,Bucerotiformes,Bucorvidae,Bucorvus,leadbeateri,Southern ground hornbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,3767.5,NA,70,1,acceptable,NA,NA
Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,epops,Eurasian hoopoe,365,365,NA,NA,NA,NA,NA,NA,NA,67.1,NA,11.1,729,acceptable,NA,NA
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,carolinensis,Chuck-will's-widow,NA,NA,20,NA,2.5,1,NA,NA,NA,115,NA,14.8,445,acceptable,NA,NA
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,europaeus,Eurasian nightjar,365,365,NA,NA,NA,NA,NA,NA,NA,67,NA,11.9,450,acceptable,NA,NA
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,ruficollis,Red-necked nightjar,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,NA,13.2,450,acceptable,NA,NA
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,vociferus,Whip-poor-will,NA,NA,19,NA,2,2,NA,5.4,NA,54,NA,15,445,acceptable,NA,NA
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common nighthawk,NA,NA,19,NA,2,1,NA,5.95,NA,79.3,NA,10,427,acceptable,72,NA
